URL,transcript,createdAt,updatedAt,Статус,Хук,Ценность,Структура,"Причина, почему видео «стрельнуло»",Рекомендации по улучшению
https://www.instagram.com/reel/DDE9cQttcjZ/,"Правда, Chat GPT, которую никто не хочет вам рассказывать. Ведь большинство из нас просто вводят какие-то стандартные запросы, ну и получают посредственные результаты. Но на самом деле, прежде чем начинать работу, необходимо правильно настроить свой Chat GPT. Нужно зайти в настройки, открыть пользовательские инструкции, и там ввести специальный промпт, который описывает, как Chat GPT должен отвечать и кем он должен быть. И только после этого Chat GPT станет вашим персональным ассистентом, который чётко понимает ваш стиль и ваши потребности. Я записал подробный бесплатный видеоурок по работе с Chat GPT. Напишите в комментариях 818, я вам скину ссылку на это видео прямо в директ.",2025-10-19T12:47:33.636Z,2025-10-19T12:47:33.636Z,готово,"«Правда, Chat GPT, которую никто не хочет вам рассказывать.» — провокационный секрет/контрфакт, обещающий скрытую информацию.","Практическая инструкция: как настроить «Пользовательские инструкции» в ChatGPT, чтобы он стал персональным ассистентом, понимающим ваш стиль и потребности; плюс предложение бесплатного подробного видеоурока по теме.","Вступление: провокационный хук + проблема (люди вводят стандартные запросы и получают посредственные результаты). Основная часть: пошаговый совет — зайти в настройки, открыть пользовательские инструкции и ввести специальный промпт, который описывает роль и стиль ChatGPT. Заключение/CTA: предложение бесплатного видеоурока и просьба написать «818» в комментариях, чтобы получить ссылку в директ.","Видео обещает быстрый и понятный способ получить ощутимое улучшение (персонализация ChatGPT), использует эффект секретной информации и даёт конкретное действие (ввести промпт), а также сильный CTA, стимулирующий комментарии/директ. Формат короткого ясного совета хорошо работает в Reels/Shorts — высокая полезность + простота воспроизведения.","1) Покажите конкретное до/после (пример ответа ChatGPT до настройки и после) — это усилит доказательность. 2) Добавьте на экране пошаговую визуализацию: зайти в Настройки → Пользовательские инструкции → куда вставить промпт, чтобы зритель мог повторить без поиска. 3) Упростите и расширьте CTA: помимо «818» в комментариях добавьте кнопку/пин-комментарий со ссылкой и попросите сохранить или поделиться видео для роста органического охвата."
https://www.instagram.com/reel/DDE9cQttcjZ/,"Правда, Chat GPT, которую никто не хочет вам рассказывать. Ведь большинство из нас просто вводят какие-то стандартные запросы, ну и получают посредственные результаты. Но на самом деле, прежде чем начинать работу, необходимо правильно настроить свой Chat GPT. Нужно зайти в настройки, открыть пользовательские инструкции, и там ввести специальный промпт, который описывает, как Chat GPT должен отвечать и кем он должен быть. И только после этого Chat GPT станет вашим персональным ассистентом, который чётко понимает ваш стиль и ваши потребности. Я записал подробный бесплатный видеоурок по работе с Chat GPT. Напишите в комментариях 818, я вам скину ссылку на это видео прямо в директ.",2025-10-19T12:47:33.636Z,2025-10-19T12:47:33.636Z,не готово,,,,,
https://www.instagram.com/reel/DDE9cQttcjZ/,"Правда, Chat GPT, которую никто не хочет вам рассказывать. Ведь большинство из нас просто вводят какие-то стандартные запросы, ну и получают посредственные результаты. Но на самом деле, прежде чем начинать работу, необходимо правильно настроить свой Chat GPT. Нужно зайти в настройки, открыть пользовательские инструкции, и там ввести специальный промпт, который описывает, как Chat GPT должен отвечать и кем он должен быть. И только после этого Chat GPT станет вашим персональным ассистентом, который чётко понимает ваш стиль и ваши потребности. Я записал подробный бесплатный видеоурок по работе с Chat GPT. Напишите в комментариях 818, я вам скину ссылку на это видео прямо в директ.",2025-10-19T12:47:33.636Z,2025-10-19T12:47:33.636Z,не готово,,,,,
https://www.instagram.com/reel/DDE9cQttcjZ/,"Правда, Chat GPT, которую никто не хочет вам рассказывать. Ведь большинство из нас просто вводят какие-то стандартные запросы, ну и получают посредственные результаты. Но на самом деле, прежде чем начинать работу, необходимо правильно настроить свой Chat GPT. Нужно зайти в настройки, открыть пользовательские инструкции, и там ввести специальный промпт, который описывает, как Chat GPT должен отвечать и кем он должен быть. И только после этого Chat GPT станет вашим персональным ассистентом, который чётко понимает ваш стиль и ваши потребности. Я записал подробный бесплатный видеоурок по работе с Chat GPT. Напишите в комментариях 818, я вам скину ссылку на это видео прямо в директ.","""2025-10-19T13:34:20.693Z""","""2025-10-19T13:34:20.693Z""",не готово,,,,,
https://www.instagram.com/reel/DDE9cQttcjZ/,"Правда, Chat GPT, которую никто не хочет вам рассказывать. Ведь большинство из нас просто вводят какие-то стандартные запросы, ну и получают посредственные результаты. Но на самом деле, прежде чем начинать работу, необходимо правильно настроить свой Chat GPT. Нужно зайти в настройки, открыть пользовательские инструкции, и там ввести специальный промпт, который описывает, как Chat GPT должен отвечать и кем он должен быть. И только после этого Chat GPT станет вашим персональным ассистентом, который чётко понимает ваш стиль и ваши потребности. Я записал подробный бесплатный видеоурок по работе с Chat GPT. Напишите в комментариях 818, я вам скину ссылку на это видео прямо в директ.","""2025-10-19T13:34:23.778Z""","""2025-10-19T13:34:23.778Z""",не готово,,,,,
https://www.instagram.com/reel/DDE9cQttcjZ/,"Правда, Chat GPT, которую никто не хочет вам рассказывать. Ведь большинство из нас просто вводят какие-то стандартные запросы, ну и получают посредственные результаты. Но на самом деле, прежде чем начинать работу, необходимо правильно настроить свой Chat GPT. Нужно зайти в настройки, открыть пользовательские инструкции, и там ввести специальный промпт, который описывает, как Chat GPT должен отвечать и кем он должен быть. И только после этого Chat GPT станет вашим персональным ассистентом, который чётко понимает ваш стиль и ваши потребности. Я записал подробный бесплатный видеоурок по работе с Chat GPT. Напишите в комментариях 818, я вам скину ссылку на это видео прямо в директ.","""2025-10-19T13:34:25.205Z""","""2025-10-19T13:34:25.205Z""",не готово,,,,,
https://www.instagram.com/reel/DDE9cQttcjZ/,"Правда, Chat GPT, которую никто не хочет вам рассказывать. Ведь большинство из нас просто вводят какие-то стандартные запросы, ну и получают посредственные результаты. Но на самом деле, прежде чем начинать работу, необходимо правильно настроить свой Chat GPT. Нужно зайти в настройки, открыть пользовательские инструкции, и там ввести специальный промпт, который описывает, как Chat GPT должен отвечать и кем он должен быть. И только после этого Chat GPT станет вашим персональным ассистентом, который чётко понимает ваш стиль и ваши потребности. Я записал подробный бесплатный видеоурок по работе с Chat GPT. Напишите в комментариях 818, я вам скину ссылку на это видео прямо в директ.","""2025-10-19T13:47:41.988Z""","""2025-10-19T13:47:41.988Z""",не готово,,,,,
https://www.instagram.com/reel/DDE9cQttcjZ/,"Правда, Chat GPT, которую никто не хочет вам рассказывать. Ведь большинство из нас просто вводят какие-то стандартные запросы, ну и получают посредственные результаты. Но на самом деле, прежде чем начинать работу, необходимо правильно настроить свой Chat GPT. Нужно зайти в настройки, открыть пользовательские инструкции, и там ввести специальный промпт, который описывает, как Chat GPT должен отвечать и кем он должен быть. И только после этого Chat GPT станет вашим персональным ассистентом, который чётко понимает ваш стиль и ваши потребности. Я записал подробный бесплатный видеоурок по работе с Chat GPT. Напишите в комментариях 818, я вам скину ссылку на это видео прямо в директ.","""2025-10-19T13:47:45.092Z""","""2025-10-19T13:47:45.092Z""",не готово,,,,,
https://www.instagram.com/reel/DDE9cQttcjZ/,"Правда, Chat GPT, которую никто не хочет вам рассказывать. Ведь большинство из нас просто вводят какие-то стандартные запросы, ну и получают посредственные результаты. Но на самом деле, прежде чем начинать работу, необходимо правильно настроить свой Chat GPT. Нужно зайти в настройки, открыть пользовательские инструкции, и там ввести специальный промпт, который описывает, как Chat GPT должен отвечать и кем он должен быть. И только после этого Chat GPT станет вашим персональным ассистентом, который чётко понимает ваш стиль и ваши потребности. Я записал подробный бесплатный видеоурок по работе с Chat GPT. Напишите в комментариях 818, я вам скину ссылку на это видео прямо в директ.","""2025-10-19T13:47:46.330Z""","""2025-10-19T13:47:46.330Z""",не готово,,,,,
https://www.instagram.com/reel/DDE9cQttcjZ/,"Правда, Chat GPT, которую никто не хочет вам рассказывать. Ведь большинство из нас просто вводят какие-то стандартные запросы, ну и получают посредственные результаты. Но на самом деле, прежде чем начинать работу, необходимо правильно настроить свой Chat GPT. Нужно зайти в настройки, открыть пользовательские инструкции, и там ввести специальный промпт, который описывает, как Chat GPT должен отвечать и кем он должен быть. И только после этого Chat GPT станет вашим персональным ассистентом, который чётко понимает ваш стиль и ваши потребности. Я записал подробный бесплатный видеоурок по работе с Chat GPT. Напишите в комментариях 818, я вам скину ссылку на это видео прямо в директ.","""2025-10-19T13:47:47.377Z""","""2025-10-19T13:47:47.377Z""",не готово,,,,,
